Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Карпенко,Демид,Олексійович,чоловік,1948-04-01,Провізор,селище Ланівці,"площа Альпіністів, буд. 493, Олешки, 44475",+380 (88) 642-01-07,iaremaavdieienko@example.com
Яременко,Олекса,Петрович,чоловік,1991-03-10,Випробувач,село Нова Каховка,"сквер Флотська, буд. 784, Дніпрорудне, 37900",098 164 89 14,shmorhundanna@example.org
Рубець,Златослава,Андріївна,жінка,1953-01-05,Дерун,селище Ірміно,"площа Нафтовиків, буд. 42, Бунге, 74976",+380 (55) 608-48-56,makohonvira@example.org
Цушко,Данна,Сергіївна,жінка,1969-10-15,Нотаріус,село Березань,"сквер Євгена Крамаренка, буд. 578, Жданівка, 33672",714-42-22,bandurkatereza@example.net
Примаченко,Іван,Сергійович,чоловік,1945-11-26,Астроном,село Попасна,"сквер В’ячеслава Чорновола, буд. 66, Армянськ, 88245",401 45 92,tchumachenko@example.com
Іващенко,Юстина,Петрівна,жінка,1942-09-22,Електрик,місто Путивль,"узвіз Нафтовиків 1-й, буд. 9 кв. 6, Голубівка, 59881",057 044-44-09,monyshchenko@example.com
Єрьоменко,Анастасія,Сергіївна,жінка,1975-03-23,Композитор,село Сколе,"вулиця Восьмого березня, буд. 659, Амвросіївка, 50327",+380 03 335 57 73,petrovatamaniuk@example.com
Сацюк,Олесь,Олексійович,чоловік,1986-11-07,Реставратор,місто Довжанськ,"проспект Болградська, буд. 905 кв. 9, Рожище, 48286",091 528 18 84,venedyktdavymuka@example.com
Верхола,Едита,Сергіївна,жінка,1979-11-24,Фермер,село Златопіль,"сквер Лиманчик 2-й Лінія 9-та, буд. 245 кв. 5, Шепетівка, 97386",004 908-22-30,vashchukaaron@example.org
Лазаренко,Едуард,Андрійович,чоловік,1946-04-16,Стропальник,місто Сновськ,"сквер Східний 1-й, буд. 849, Бунге, 54190",010 570-30-79,orkhyp54@example.org
Засядько,Максим,Володимирович,чоловік,1954-09-10,Кур'єр,хутір Зимогір'я,"вулиця Луїджі Іоріні, буд. 4 кв. 55, Лисичанськ, 88175",045 77 84,datsenkoorest@example.com
Гайдай,Орест,Сергійович,чоловік,1961-04-11,Музикант,місто Новодружеськ,"проспект Соні Делоне, буд. 13 кв. 37, Горішні Плавні, 37344",+380 69 752-38-50,zaikaivan@example.org
Данчук,Дарина,Петрівна,жінка,1961-08-22,Кінорежисер,хутір Подільськ,"узвіз Миколи Боровського, буд. 399 кв. 244, Чуднів, 90731",+380 88 367 09 19,vskyrda@example.com
Рудик,Теодор,Андрійович,чоловік,1951-11-25,Конструктор,село Переяслав,"провулок Рожева, буд. 00, Привілля, 96242",074 706 77 27,pskoryk@example.net
Бебешко,Богуслава,Петрівна,жінка,1939-12-06,Фотограф,село Галич,"вулиця Улицька, буд. 916 кв. 38, Любомль, 48993",+380 41 236-47-31,dvenhrynovych@example.net
Атаманюк,Борис,Олегович,чоловік,1940-09-02,Дерун,селище Радивилів,"площа Климовича, буд. 5, Красногорівка, 86901",153-82-88,gstelmakh@example.net
Журавель,Василь,Олегович,чоловік,1976-10-23,Електротехнік,селище Решетилівка,"провулок Кривобалківська, буд. 65 кв. 15, Нова Каховка, 85287",942-33-37,artiushenkomariana@example.net
Слюсар,Болеслав,Володимирович,чоловік,1984-01-07,Краєзнавець,місто Тальне,"шосе Чехівського, буд. 5 кв. 787, Болград, 75080",+380 (72) 948-81-39,pustovitmariia@example.org
Баштан,Аніта,Сергіївна,жінка,1948-10-04,Гицель,село Тячів,"сквер Рівний, буд. 483 кв. 503, Бердянськ, 96505",005 343 43 49,adamiatseniuk@example.com
Аронець,Клавдія,Олегівна,жінка,1960-10-07,Слідчий,село Іллінці,"площа Приморський, буд. 5 кв. 4, Федорівка, 05119",+380 83 029 46 65,bohdanvdovenko@example.org
Кибкало,Валентин,Олегович,чоловік,1949-04-04,Флорист,хутір Молочанськ,"парк Заводська 2-га, буд. 633, Середина-Буда, 08650",028 761-64-53,mykhailyna38@example.net
Ванченко,Омелян,Сергійович,чоловік,1963-06-11,Бізнесмен,село Вознесенськ,"набережна Ніли Крюкової, буд. 741 кв. 87, Вільнянськ, 69332",+380 88 342-97-01,marynapiddubna@example.net
Рубан,Кирило,Олегович,чоловік,1969-05-02,Перекладач,хутір Верхівцеве,"парк Митракова, буд. 30, Сокиряни, 58548",+380 95 091-55-58,siefymenko@example.net
Товстуха,Христина,Олексіївна,жінка,1979-07-14,Модель,хутір Жашків,"набережна Дальницька, буд. 8 кв. 291, Валки, 70655",307 12 28,solomiia66@example.net
Сомко,Камілла,Іванівна,жінка,1975-12-28,Стиліст,село Білопілля,"набережна Бахчева, буд. 097 кв. 62, Зборів, 38518",+380 80 097 82 23,hshtokalo@example.net
Яремко,Орися,Петрівна,жінка,1999-03-23,Редактор,місто Курахове,"провулок Лобачевського, буд. 2, Судак, 02041",+380 92 050 35 63,sofiia71@example.net
Іваненко,Марко,Володимирович,чоловік,1993-04-22,Кінорежисер,село Калинівка,"проспект Шкіперська, буд. 480 кв. 8, Миргород, 05603",064 210-79-16,zvdovenko@example.com
Щербак,Охрім,Олегович,чоловік,1964-10-16,Музикант,хутір Болград,"сквер Вапняний 2-й, буд. 94, Підгородне, 09878",021 760-85-55,msych@example.org
Сірко,Омелян,Олегович,чоловік,1958-02-17,Візажист,місто Білозерське,"узвіз 11-та Лінія Марії Демченко, буд. 457 кв. 48, Чугуїв, 69728",+380 60 443-34-26,bohuslava47@example.org
Фурс,Марʼяна,Сергіївна,жінка,2005-02-09,Пекар,селище Золочів,"набережна Цимлянська, буд. 407, Армянськ, 01395",082 792-05-30,sviatoslavaderevianko@example.org
Колісниченко,Михайлина,Сергіївна,жінка,1954-03-04,Пілот,місто Перемишляни,"парк Олени Теліги, буд. 5 кв. 9, Золочів, 05191",+380 02 199-71-83,derehusirena@example.com
Гук,Богодар,Олексійович,чоловік,1960-06-02,Клоун,село Новий Буг,"проспект Лобачевського, буд. 355, Новоукраїнка, 16286",+380 18 785-24-41,liudmyla11@example.com
Дергач,Гордій,Андрійович,чоловік,1963-06-13,Патологоанатом,місто Путивль,"вулиця Олександра Станкова, буд. 9 кв. 673, Новоград-Волинський, 37252",+380 (50) 241-26-16,makar70@example.net
Кибкало,Володимир,Олегович,чоловік,1955-08-15,Модельєр,селище Тараща,"узвіз Сірожупанників, буд. 979, Стрий, 97198",027 971-61-78,ivanbabii@example.org
Малик,Лілія,Петрівна,жінка,1963-07-15,Лікар,хутір Старокостянтинів,"шосе Новиков міст, буд. 5 кв. 43, Немирів, 59760",+380 04 012-49-87,chmilparmen@example.net
Овсієнко,Христина,Петрівна,жінка,1979-02-11,Антрополог,село Герца,"набережна Середньофонтанський, буд. 1 кв. 315, Сніжне, 19524",+380 01 680 37 03,tetianatsisyk@example.net
Забара,Алевтин,Олегович,чоловік,1988-11-24,Менеджер,село Підгайці,"площа Петра Біциллі, буд. 1 кв. 4, Кролевець, 02738",+380 90 053-21-40,oleksandriaremchuk@example.com
Павличенко,Пріска,Андріївна,жінка,1984-11-29,Гірничий інженер,хутір Вінниця,"набережна Матюшенка, буд. 487 кв. 76, Хмільник, 95968",077 562 80 11,haidenkooleksandr@example.org
